,air_date,director,episode_description,episode_number,link,rating,rating_count,season,storyline,title,writers
137,3 Dec. 1995,David Silverman,Troy McClure hosts a retrospective of the first 137 episodes of The Simpsons.,10,http://www.imdb.com/title/tt0701261/?ref_=ttep_ep10,7.5,"1,151",7,Troy McClure hosts a retrospective of the first 137 episodes of The Simpsons.,The Simpsons 138th Episode Spectacular,"Matt Groening (created by), James L. Brooks (developed by)"
138,17 Dec. 1995,Steven Dean Moore,Marge's relationship with Bart is strained when he is caught shoplifting before Christmas.,11,http://www.imdb.com/title/tt0701168/?ref_=ttep_ep11,8.4,"1,312",7,"Bart is caught shop-lifting a video game from a store. He is barred from the store, but when Marge visits it with Bart in tow, the gung-ho store detective tells her of her son's misdemeanor and they grow apart. Eventually, Bart gives her a Christmas present, which she fears he has stolen, but when she discovers it is a framed picture of himself paid for in full, she is overjoyed, and gives him a video game, though sadly it is a golf instruction video, and not the game he desperately wanted.                Written by
don @ minifie-1",Marge Be Not Proud,"Matt Groening (created by), James L. Brooks (developed by)"
139,7 Jan. 1996,Mark Kirkland,"Homer starts a bowling team with Moe, Apu and Otto, but when Mr. Burns discovers the team was funded with his money, he insists on joining. Meanwhile, Springfield Elementary introduces uniforms.",12,http://www.imdb.com/title/tt0779675/?ref_=ttep_ep12,8.3,"1,183",7,"Homer starts a bowling team with Moe, Apu and Otto, but when Mr. Burns discovers the team was funded with his money, he insists on joining. Meanwhile, Springfield Elementary introduces uniforms.",Team Homer,"Matt Groening (created by), James L. Brooks (developed by)"
140,14 Jan. 1996,Wesley Archer,"Former President George Bush and his wife, Barbara, move into the Simpsons' neighborhood and soon clash with Bart and Homer.",13,http://www.imdb.com/title/tt0779680/?ref_=ttep_ep13,8.7,"1,417",7,"To avoid politics, former President George Bush and his wife Barbara retire to Springfield, citing its low voter turnout. They quickly become friends to the conservative Flanders family, but George soon becomes the enemy of Bart and Homer Simpson.                Written by
tfilm78",Two Bad Neighbors,"Matt Groening (created by), James L. Brooks (developed by)"
141,4 Feb. 1996,Susie Dietter,"After buying a Chanel suit at a bargain price, Marge finds herself invited to a country club by a former schoolmate. Taken in by the opulence of the place, she is soon overcome by a desperation to fit in.",14,http://www.imdb.com/title/tt0779674/?ref_=ttep_ep14,7.7,"1,082",7,"After Grandpa destroys their television set, the Simpsons go to an outlet mall to buy a new one. Marge decides to peruse a clothing store, and buys a discounted Chanel suit. A chance encounter with a High School acquaintance, while wearing the suit, leads to an invitation to join a country club. Marge becomes obsessed with pleasing the club's upper-class clientèle to so she can be accepted.                Written by
Tfilm78",Scenes from the Class Struggle in Springfield,"Matt Groening (created by), James L. Brooks (developed by)"
142,11 Feb. 1996,Jim Reardon,"Bart gets a check he wanted signed by Krusty back stamped. As Krusty was supposed to autograph it, Bart wants it taken back to sign, but inadvertently reveals Krusty as a tax fraud. Krusty's lifestyle is stripped down to that of an average citizen, his show ruined and most of his possessions sold in an auction. Bart is mad at himself, particularly after a sobbing Krusty commits suicide by piloting his plane, the I'm-Onna-Rolla-Gay, into a mountainside. Bart sees visions of Krusty everywhere, but are they illusions or real life?",15,http://www.imdb.com/title/tt0701058/?ref_=ttep_ep15,7.7,"1,074",7,"Bart gets a check he wanted signed by Krusty back stamped. As Krusty was supposed to autograph it, Bart wants it taken back to sign, but inadvertently reveals Krusty as a tax fraud. Krusty's lifestyle is stripped down to that of an average citizen, his show ruined and most of his possessions sold in an auction. Bart is mad at himself, particularly after a sobbing Krusty commits suicide by piloting his plane, the I'm-Onna-Rolla-Gay, into a mountainside. Bart sees visions of Krusty everywhere, but are they illusions or real life?                Written by
movieguy3",Bart the Fink,"Matt Groening (created by), James L. Brooks (developed by)"
143,18 Feb. 1996,Mike B. Anderson,Lisa discovers that her town's beloved founder Jebediah Springfield was in fact a vicious pirate.,16,http://www.imdb.com/title/tt0701155/?ref_=ttep_ep16,8.1,"1,162",7,"Whilst researching a history project,Lisa discovers that Jebediah Springfield,the town's founder,was actually a pirate who stole public funds to make a silver tongue for himself. Her findings are not popular with the township and so she asks that Springfield's body be exhumed for proof. The tongue is nowhere to be found but museum curator Hollis Hurlbut admits to Lisa that he stole it. So as not to disillusion the town's people Lisa and Hollis agree to keep this secret so that Jebediah will always be fondly remembered.                Written by
don @ minifie-1",Lisa the Iconoclast,"Matt Groening (created by), James L. Brooks (developed by)"
144,25 Feb. 1996,Steven Dean Moore,"When Smithers is forced to take a vacation, he appoints Homer as his temporary replacement.",17,http://www.imdb.com/title/tt0779667/?ref_=ttep_ep17,8.9,"1,761",7,"Burns's personal assistant Smithers goes on holiday and Homer is chosen to be his stand-in. However he is so useless that Burns learns to cope for himself,making Smithers redundant when he returns to Springfield. Smithers and Homer get into a fight,during which Burns is thrown through a window. This means that he will now be very reliant on Smithers after all.                Written by
don @ minifie-1",Homer the Smithers,"Matt Groening (created by), James L. Brooks (developed by)"
145,17 Mar. 1996,Wesley Archer,"Bart and Lisa meet a homeless person who claims to have created Itchy, one half of the cat and mouse team of their favorite cartoon series, ""Itchy & Scratchy.""",18,http://www.imdb.com/title/tt0701234/?ref_=ttep_ep18,8.0,"1,138",7,"Bart and Lisa meet a homeless person who claims to have created Itchy, one half of the cat and mouse team of their favorite cartoon series, ""Itchy & Scratchy.""",The Day the Violence Died,"Matt Groening (created by), James L. Brooks (developed by)"
146,24 Mar. 1996,Mark Kirkland,Washed-up movie star Troy McClure starts dating Selma in an attempt to silence bizarre rumors about his personal life and resuscitate his career.,19,http://www.imdb.com/title/tt0701043/?ref_=ttep_ep19,8.3,"1,234",7,"Washed-up movie star Troy McClure is pulled over for driving without corrective lenses, and forced to go to the DMV to get his eyes checked. While there, he meets Selma, who he asks out for dinner. Spotted by a reporter, he quickly realizes that being seen in public with a woman will grab enough headlines to revitalize his career, leading to a whirlwind romance between him and Selma.                Written by
Anonymous",A Fish Called Selma,"Matt Groening (created by), James L. Brooks (developed by)"
147,31 Mar. 1996,Swinton O. Scott III,"Unable to get out of a mis-scheduled spring vacation, Principal Skinner makes up the holiday ""Go to Work with Your Parents Day,"" giving Lisa the chance to spend time with Homer, and Bart the chance to work with Patty & Selma at the DMV. When Bart makes his own fake driver's license and Martin wins a bundle at the stock market, Bart rents a car, and takes Milhouse, Martin, and Nelson Muntz on a huge road trip.",20,http://www.imdb.com/title/tt0701057/?ref_=ttep_ep20,8.6,"1,247",7,"Unable to get out of a mis-scheduled spring vacation, Principal Skinner makes up the holiday ""Go to Work with Your Parents Day,"" giving Lisa the chance to spend time with Homer, and Bart the chance to work with Patty & Selma at the DMV. When Bart makes his own fake driver's license and Martin wins a bundle at the stock market, Bart rents a car, and takes Milhouse, Martin, and Nelson Muntz on a huge road trip.                Written by
Daniel Timothy Dey",Bart on the Road,"Matt Groening (created by), James L. Brooks (developed by)"
148,14 Apr. 1996,Jim Reardon,A series of vignettes highlights a day in the life of various Springfield residents.,21,http://www.imdb.com/title/tt0701186/?ref_=ttep_ep21,8.8,"1,565",7,A series of vignettes highlights a day in the life of various Springfield residents.,22 Short Films About Springfield,"Matt Groening (created by), James L. Brooks (developed by)"
149,28 Apr. 1996,Jeffrey Lynch,"Another member of Grampa Simpson's WWII platoon dies, leaving only him and Mr. Burns. Years earlier, the men stole a number of priceless masterpieces from Nazi Germany, and now Mr. Burns aims to ensure he is the one to inherit them.",22,http://www.imdb.com/title/tt0778451/?ref_=ttep_ep22,8.4,"1,250",7,"Grandpa Simpson reveals to Bart that he and Montgomery Burns were part of a World War 2 unit known as the Flying Hellfish, which stole priceless art from a German castle during the war, of which the last surviving member would inherit the fortune. When another member of his platoon dies, Abe and Burns remain the last two survivors, and Burns vows to make sure Grandpa doesn't become the last Hellfish, until Abe and Bart vow to find the fortune before Burns does.                Written by
Daniel Timothy Dey",Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',"Matt Groening (created by), James L. Brooks (developed by)"
150,5 May 1996,Susie Dietter,"Anti-immigration fever sweeps Springfield, which threatens to lead to the deportation of Apu, until Homer decides to reject the mob mentality and help him become a legal citizen.",23,http://www.imdb.com/title/tt0774432/?ref_=ttep_ep23,8.1,"1,116",7,"Anti-immigration fever sweeps Springfield, which threatens to lead to the deportation of Apu, until Homer decides to reject the mob mentality and help him become a legal citizen.",Much Apu About Nothing,"Matt Groening (created by), James L. Brooks (developed by)"
151,19 May 1996,Wesley Archer,"Determined to prove he is still cool, Homer takes Bart and Lisa to the Hullabalooza music festival, where he finds he has a talent for being shot in the stomach, and joins the festival's freak show.",24,http://www.imdb.com/title/tt0701127/?ref_=ttep_ep24,8.0,"1,216",7,"Depressed about his inability to keep up with the existing music scene when Bart reveals how uncool his interest in 1970's rock music truly is, Homer decides to take Bart and Lisa to the Hullabalooza music festival to show them this isn't the case. Failing at that, he nearly sparks a riot and gets shot at with a cannon(ironically for Peter Frampton) which bounces a fake pig off his fat belly, and ends up being hired as part of the festival's freak show, touring with bands such as Smashing Pumpkins, Cypress Hill, Sonic Youth, and yes, Frampton.                Written by
Daniel Timothy Dey",Homerpalooza,"Matt Groening (created by), James L. Brooks (developed by)"
152,19 May 1996,Mark Kirkland,"After realizing how unpopular she is at school, a disillusioned Lisa sees the vacation to Ned Flanders' beach house that the family has planned as an opportunity to reinvent herself and make some friends.",25,http://www.imdb.com/title/tt0701219/?ref_=ttep_ep25,8.3,"1,258",7,"The end of the school year, and an empty yearbook causes Lisa to contemplate her lack of popularity. When Ned Flanders is summoned for jury duty and offers Homer a chance to stay at his beach house, Lisa sees this as the opportunity to reinvent herself as a slacker in the hope of gaining friends, which proves to be far more successful than she could possibly imagine --- but not if Bart has any say in the matter.                Written by
Daniel Timothy Dey","Summer of 4'2""","Matt Groening (created by), James L. Brooks (developed by)"
153,27 Oct. 1996,Mike B. Anderson,"Bart discovers his Siamese twin Hugo in the attic. Then, Lisa becomes a god after she accidentally creates life in a science fair project. Finally, Kang and Kodos plot to conquer the planet disguised as Bill Clinton and Bob Dole.",1,http://www.imdb.com/title/tt0779678/?ref_=ttep_ep1,8.3,"1,338",8,"In ""The Thing and I,"" Bart hears something in the attic one night and his parents tell him that it's his conjoined twin brother, Hugo. Hibbert then reveals that there was an irregularity when he was born and one of the twins was pure evil. Marge and Homer then locked Hugo in the attic and fed him a bucket of fish heads once a week. When Hugo tries to sew him and Bart back together, but Hibbert reveals that Bart was always the evil twin. In ""The Genesis Tub,"" Lisa accidentally creates a rapidly evolving universe in a small tub. This new race calls Lisa a God and Bart the Devil after he attacks. Lisa is brought down to the race's size and is therefore unable to help her people. In ""Citizen Kang,"" Kang and Kodos abduct Homer and tells the aliens of a presidential election after being asked for their leader. The aliens then steal the identity of Bill Clinton and Bob Dole to be elected and take over Earth. Homer tries to get the real guys back, but accidentally kills them. When he gets ...                Written by
yellowhomer22",Treehouse of Horror VII,"Matt Groening (created by) (as Rat Groening), James L. Brooks (developed by) (as James Hell Brooks)"
154,3 Nov. 1996,Mike B. Anderson,"After moving to another town to begin a new job, Homer must decide whether or not he should stay when the rest of the family had a hard time with the transfer.",2,http://www.imdb.com/title/tt0701298/?ref_=ttep_ep2,9.2,"2,730",8,"After moving to another town to begin a new job, Homer must decide whether or not he should stay when the rest of the family had a hard time with the transfer.",You Only Move Twice,"Matt Groening (created by), James L. Brooks (developed by)"
155,10 Nov. 1996,Mark Kirkland,Homer becomes a boxer after Moe discovers his amazing ability to take a punch.,3,http://www.imdb.com/title/tt0701243/?ref_=ttep_ep3,8.0,"1,213",8,"After discovering that Homer can take punches without feeling any apparent pain,ex-fighter Moe promotes him as a boxer. Homer's punching is poor but he only has to stand still long enough before the opponents are exhausted and collapse. World Heavyweight champion Drederick Tatum is a different matter,however,and Homer takes such a pounding that Moe arrives on a para glider to pluck him to safety. He still takes the money from Tatum's manager Lucius Sweet for the contest though.                Written by
don @ minifie-1",The Homer They Fall,"Matt Groening (created by), James L. Brooks (developed by)"
156,17 Nov. 1996,Jim Reardon,"The Simpsons try to reunite Homer's boss, Mr. Burns, with Larry, Burns' long-lost son.",4,http://www.imdb.com/title/tt0701078/?ref_=ttep_ep4,7.7,"1,199",8,"The Simpsons give a lift to a man called Larry who is hitching to Springfield after discovering that he is Burns's long-lost son. Burns is initially happy to see him but tires of Larry's uncouth slobbishness and Larry is befriended by Homer. He decides that Larry might win back his father's love by means of a fake kidnapping. The plan is exposed but Burns forgives Larry, who then goes home to his wife and children.                Written by
don @ minifie-1","Burns, Baby Burns","Matt Groening (created by), James L. Brooks (developed by)"
157,24 Nov. 1996,Dominic Polcino,Marge leads a crusade against a local burlesque house after she discovers Bart working there.,5,http://www.imdb.com/title/tt0763023/?ref_=ttep_ep5,8.2,"1,231",8,"Whilst Marge and Lisa are at the coast helping to clean up after an oil spill, Bart, left to his own devices, comes upon a house of ill repute and soon ends up working on the door. Marge is appalled to find that Homer knew but did nothing to stop his son and leads a deputation of local citizens demanding its closure, culminating in her accidentally bull-dozing it.                Written by
don @ minifie-1",Bart After Dark,"Matt Groening (created by), James L. Brooks (developed by)"
158,1 Dec. 1996,Steven Dean Moore,"When Kirk and Luann hit a roadblock in their marriage, Luann announces that she is planning to get a divorce, causing Homer to worry about his own marriage.",6,http://www.imdb.com/title/tt0779664/?ref_=ttep_ep6,8.0,"1,137",8,"At a party at the Simpsons' house, Milhouse's parents Luann and Kirk publicly row and later split up, Kirk having to go and live at a motel while Luann takes up with younger Gladiator Chase. Fearing that his own marriage is in jeopardy, Homer divorces Marge so that he can remarry her properly and with ceremony in front of all their friends. Kirk attempts the same with Luann but fails.                Written by
don @ minifie-1",A Milhouse Divided,"Matt Groening (created by), James L. Brooks (developed by)"
159,15 Dec. 1996,Susie Dietter,"At school, Nelson is caught with a cache of stolen items in his locker (including the ""H"" hood emblem from Supt. Chalmers' car) and is assigned to do chores with Groundskeeper Willie. Lisa is caught observing the goings-on and is assigned detention, where she develops a crush on Nelson. Lisa tries to reform Nelson, and it works for awhile. However, as the old saying goes, you can't teach a juvenile delinquent new tricks and it isn't long before Nelson is back to his old ways; he and his buddies had been caught throwing spoiled food at Skinner's house and tries to lie ...",7,http://www.imdb.com/title/tt0779669/?ref_=ttep_ep7,7.8,"1,124",8,"At school, Nelson is caught with a cache of stolen items in his locker (including the ""H"" hood emblem from Supt. Chalmers' car) and is assigned to do chores with Groundskeeper Willie. Lisa is caught observing the goings-on and is assigned detention, where she develops a crush on Nelson. Lisa tries to reform Nelson, and it works for awhile. However, as the old saying goes, you can't teach a juvenile delinquent new tricks and it isn't long before Nelson is back to his old ways; he and his buddies had been caught throwing spoiled food at Skinner's house and tries to lie to Lisa about his participation in the whole thing, but ultimately lets slip the truth. Meanwhile, Homer obtains an autodialer and decides it will help him make easy money through his ""Happy Dude"" telemarketing scheme. Homer is eventually caught and made to use the autodialer to call back everyone he scammed in apology. Which he does ... then he asks for more money as part of a ""Sorry Dude"" scam.",Lisa's Date with Density,"Matt Groening (created by), James L. Brooks (developed by)"
160,29 Dec. 1996,Bob Anderson,"After a hurricane hits Springfield and destroys Ned Flanders' house, he suffers a breakdown and is forced to confront problems from his childhood.",8,http://www.imdb.com/title/tt0701131/?ref_=ttep_ep8,8.8,"1,426",8,"After a hurricane hits Springfield and destroys Ned Flanders' house, he suffers a breakdown and is forced to confront problems from his childhood.",Hurricane Neddy,"Matt Groening (created by), James L. Brooks (developed by)"
161,5 Jan. 1997,Jim Reardon,"At Springfield's annual chili cook-off, Homer eats a spicy concoction containing hallucinogenic peppers from Guatemala, and subsequently has a vision which makes him doubt Marge is his soul mate.",9,http://www.imdb.com/title/tt0701094/?ref_=ttep_ep9,8.5,"1,532",8,"Marge's fears that Homer will embarrass her at the annual Springfield Chili Cook-Off again, are reaffirmed when after tasting various bland samples of chili, he comes across a specialty made by Chief Wiggum laced with hallucinogenic Guatemalan peppers. The chili sends him on a psychedelic journey where he meets an imaginary Coyote spirit guide(voiced by country music legend Johnny Cash), who urges him to find his soul mate, causing him to doubt that he should've ever married Marge in the first place.                Written by
Daniel Timothy Dey",El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),"Matt Groening (created by), James L. Brooks (developed by)"
162,12 Jan. 1997,Steven Dean Moore,"In yet another crazed crossover, Leonard Nimoy narrates another tale of the supernatural, reminiscent of his days with ""In Search Of."" Realizing that even he's too drunk to drive after a night at Moe's Tavern, Homer stumbles through the woods and encounters a green glowing alien. Needless to say, nobody takes him seriously, except for ""X-Files"" FBI Agent Fox Mulder, who once again drags along his partner Dana Scully on another quest to prove the government is hiding the presence of UFO's from the public. However, even this mission may make a skeptic out of Mulder.",10,http://www.imdb.com/title/tt0701263/?ref_=ttep_ep10,9.0,"1,987",8,"In yet another crazed crossover, Leonard Nimoy narrates another tale of the supernatural, reminiscent of his days with ""In Search Of."" Realizing that even he's too drunk to drive after a night at Moe's Tavern, Homer stumbles through the woods and encounters a green glowing alien. Needless to say, nobody takes him seriously, except for ""X-Files"" FBI Agent Fox Mulder, who once again drags along his partner Dana Scully on another quest to prove the government is hiding the presence of UFO's from the public. However, even this mission may make a skeptic out of Mulder.                Written by
Daniel Timothy Dey",The Springfield Files,"Matt Groening (created by), James L. Brooks (developed by)"
163,19 Jan. 1997,Chuck Sheetz,"Marge enters the pretzel vending business, but when she fails, Homer recruits some help from the mob.",11,http://www.imdb.com/title/tt0701266/?ref_=ttep_ep11,7.8,"1,118",8,"Marge goes to work for Frank Ormond,making and selling pretzels and,when he dies,sets up in business for herself. Initially sales are poor until Homer brings in local Mafia boss Fat Tony as her business partner. Sales boom as a result but,unfortunately,any profits vanish due to Fat Tony's 'business agreement' with Homer.                Written by
don @ minifie-1",The Twisted World of Marge Simpson,"Matt Groening (created by), James L. Brooks (developed by)"
164,2 Feb. 1997,Mark Kirkland,Homer and Mr. Burns get trapped in a snowed-in cabin during a company retreat.,12,http://www.imdb.com/title/tt0779671/?ref_=ttep_ep12,8.6,"1,279",8,"Burns takes his staff to Mount Useful for a team-building exercise,the object being to reach a cabin at the top. Paired with Homer,Burns cheats and they reach their destination but experience cabin fever when snowed in by an avalanche. Eventually Homer uses a propane stove to turn the cabin into a sled that sends them back to safety.                Written by
don @ minifie-1",Mountain of Madness,"Matt Groening (created by), James L. Brooks (developed by)"
165,7 Feb. 1997,Chuck Sheetz,"After a little bit of hair loss caused by stress, the Simpson family decide that a nanny to help around the house may be a good idea, causing them to come into contact with a very odd character named Shary Bobbins.",13,http://www.imdb.com/title/tt0757021/?ref_=ttep_ep13,7.7,"1,218",8,"Marge Simpson is starting to loose hair due to the stress of running the Simpson household. The family decide to get a nanny and are approached by Shary Bobbins, a Mary Poppins figure in Victorian attire, complete with a flying umbrella. The British nanny seems to bring joy to everyone with her London music hall style singing and eccentric charm. Yet working in the Simpson household soon starts to cause problems for the kindly nursemaid...                Written by
Joe",Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,"Matt Groening (created by), James L. Brooks (developed by)"
166,7 Feb. 1997,Steven Dean Moore,"Krusty becomes alarmed at the flagging ratings for ""The Itchy & Scratchy Show"" and demands it be corrected. The producers reason some new gimmicks are needed to inject fresh air and - after a focus group doesn't quite go as well as planned - decide to introduce a new character named Poochie, a rapping cartoon dog that is supposed to become friends with Itchy and Scratchy. Homer auditions to do Poochie's voice and wins the part. Poochie's first cartoon, ""The Beagle Has Landed,"" premieres to great fanfare but is poorly received to say the least. The producers decide ...",14,http://www.imdb.com/title/tt0701245/?ref_=ttep_ep14,7.9,"1,213",8,"Krusty becomes alarmed at the flagging ratings for ""The Itchy & Scratchy Show"" and demands it be corrected. The producers reason some new gimmicks are needed to inject fresh air and - after a focus group doesn't quite go as well as planned - decide to introduce a new character named Poochie, a rapping cartoon dog that is supposed to become friends with Itchy and Scratchy. Homer auditions to do Poochie's voice and wins the part. Poochie's first cartoon, ""The Beagle Has Landed,"" premieres to great fanfare but is poorly received to say the least. The producers decide that, given his spectacular failure, Poochie will be killed off in the mutt's next cartoon. Homer learns about this and at his next recording session, gives a speech imploring everyone to give Poochie a chance. However, the effort is unsuccessful and Poochie's death - along with the correct lines dubbed in - is revealed in the next animated short. Also: A college-aged boy named Roy temporarily moves in with the Simpsons and ...",The Itchy & Scratchy & Poochie Show,"Matt Groening (created by), James L. Brooks (developed by)"
167,16 Feb. 1997,Mike B. Anderson,"After Marge befriends John, a gay store owner, Homer worries that his presence will have a negative effect on Bart's sexuality.",15,http://www.imdb.com/title/tt0701126/?ref_=ttep_ep15,8.9,"1,828",8,"Homer fears that Bart's masculinity is at stake when he suspects he is being influenced by a flamboyant homosexual collectible store owner named John. All his efforts to show Bart how to be a man keep backfiring on him... or do they?                Written by
Daniel Timothy Dey",Homer's Phobia,"Matt Groening (created by), James L. Brooks (developed by)"
168,23 Feb. 1997,Pete Michels,"Grudge against his cousin Side Show Bob, Cecil tries to kill Springfield with hydro-electric dam explosion which was fonded hollowed structure by him. Side Show Bob also has a good Side.",16,http://www.imdb.com/title/tt0701227/?ref_=ttep_ep16,8.2,"1,232",8,"Sideshow Bob is released from prison into the custody of his younger brother Cecil (voiced by David Hyde Pierce), Springfield's Chief Hydrological Engineer. He works as the foreman on a new hydroelectric dam. Bart is convinced that Bob is up to something shady again, and follows him everywhere.                Written by
crouchbk",Brother from Another Series,"Matt Groening (created by), James L. Brooks (developed by)"
169,2 Mar. 1997,Jim Reardon,Bart is outraged when Lisa becomes his babysitter.,17,http://www.imdb.com/title/tt0779672/?ref_=ttep_ep17,8.1,"1,137",8,"Lisa becomes in demand as a baby-sitter so,when Marge and Homer,attend the opening of the Squidport quay,they leave her in charge at home. An angry Bart plays her up,resulting in his dislocating an arm and bumping his head and Lisa bundles him off to the hospital with Maggie in tow. They end up at Squidport where Lisa is mortified that people should think her incompetent but,after Bart apologises,she ends up back in business.                Written by
don @ minifie-1","My Sister, My Sitter","Matt Groening (created by), James L. Brooks (developed by)"
170,16 Mar. 1997,Bob Anderson,"After Bart inadvertently becomes drunk at a St. Patrick's Day celebration, an old prohibition law banning drinking in Springfield is rediscovered and enforced. Desperate to keep alcohol in the city, Homer takes matters into his own hands.",18,http://www.imdb.com/title/tt0701120/?ref_=ttep_ep18,8.8,"1,485",8,"Bart gets drunk during a St. Patrick's Day Parade, provoking the city to enforce a two-hundred year old prohibition law. Rex Banner, an Elliot Ness-type character, takes over the police force to help enforce the law since Wiggum has failed to do so. Meanwhile, Homer decides to make money for himself as a bootlegger, and is soon nicknamed ""The Beer Baron"".                Written by
Anonymous",Homer vs. the 18th Amendment,"Matt Groening (created by), James L. Brooks (developed by)"
171,6 Apr. 1997,Susie Dietter,"Martin's birthday party is predictably dull until nearly all the guests become ill with food poisoning. The only ones not to get sick are Bart (who didn't want to eat the spoiled oysters), and Principal Skinner and Mrs. Krabappel, who fall in love with each other. Bart catches his principal and teacher kissing passionately, but they immediately find out and want to swear him to secrecy. They make him his gofer, making his life miserable at school and calling him at all hours of the night (all for the reward of Milhouse inheriting Bart's poor school record). Bart ...",19,http://www.imdb.com/title/tt0779666/?ref_=ttep_ep19,8.2,"1,113",8,"Martin's birthday party is predictably dull until nearly all the guests become ill with food poisoning. The only ones not to get sick are Bart (who didn't want to eat the spoiled oysters), and Principal Skinner and Mrs. Krabappel, who fall in love with each other. Bart catches his principal and teacher kissing passionately, but they immediately find out and want to swear him to secrecy. They make him his gofer, making his life miserable at school and calling him at all hours of the night (all for the reward of Milhouse inheriting Bart's poor school record). Bart eventually loses his patience and exposes the Skinner-Krabappel relationship. After rumors - most of them grossly exaggerated - begin running wild through town, Supt. Chalmers threatens to fire both Principal Skinner and Mrs. Krabappel (since the relationship is forbidden per district policy) and does when Skinner refuses to call the relationship off. Eventually, Bart convinces Skinner to stand up for himself and his new ...",Grade School Confidential,"Matt Groening (created by), James L. Brooks (developed by)"
172,13 Apr. 1997,Dominic Polcino,"After he fraudulently obtains a credit card, Bart buys a new dog named Laddie. When the items he purchased are repossessed, he lies that Santa's Little Helper is the dog he bought, and soon misses his pet.",20,http://www.imdb.com/title/tt0701229/?ref_=ttep_ep20,7.7,"1,031",8,"After he fraudulently obtains a credit card, Bart buys a new dog named Laddie. When the items he purchased are repossessed, he lies that Santa's Little Helper is the dog he bought, and soon misses his pet.",The Canine Mutiny,"Matt Groening (created by), James L. Brooks (developed by)"
173,20 Apr. 1997,Mark Kirkland,Burns loses his fortune and recruits Lisa to help him get it back.,21,http://www.imdb.com/title/tt0701253/?ref_=ttep_ep21,7.9,"1,078",8,"When Burns is declared bankrupt,Lisa shows him how to make money out of recycling on condition that he becomes a full convert and renounces his grasping ways. The recycling plant is a success but he reneges on the deal to catch marine life to make 'Li'l Lisa Slurry'. Lisa refuses to take any of the profits and he sells the plant on.                Written by
don @ minifie-1",The Old Man and the Lisa,"Matt Groening (created by), James L. Brooks (developed by)"
174,27 Apr. 1997,Steven Dean Moore,"Marge becomes a church counselor to compensate for Reverend Lovejoy's lack of interest. Meanwhile, Homer discovers a Japanese detergent is using his face for their logo.",22,http://www.imdb.com/title/tt0701136/?ref_=ttep_ep22,8.1,"1,090",8,"Marge helps a disillusioned Rev. Lovejoy when he loses his faith and she becomes a hit as the Listening Lady at the local church,taking over Lovejoy's secular duties. However,when Ned Flanders finds himself in trouble in the baboon pen at the Springfield zoo,the minister miraculously recovers his faith to go and save Ned from the threatening baboons. A puzzled Homer,meanwhile,comes to find out why his face seems to be on the boxes of Mr. Sparkle Japanese detergent powder.                Written by
don @ minifie-1",In Marge We Trust,"Matt Groening (created by), James L. Brooks (developed by)"
175,4 May 1997,Jim Reardon,"Industrious Frank Grimes starts working at the plant beside Homer. He complains to the other employees about how useless Homer is, which causes them to wonder why Frank is being so troublesome.",23,http://www.imdb.com/title/tt0701122/?ref_=ttep_ep23,9.3,"2,579",8,"Mr. Burns hires Frank Grimes (the human interest subject of Kent Brockman's report) as executive vice president at the Springfield Nuclear Power Plant. Grimes meets the employees and is immediately stunned at Homer's lackadasial work performance and his co-workers are nonchalant about it. Grimes - already annoyed by Homer's habits - becomes horrified when he observes Homer nearly drink a flask containing a toxic acid in absent-mindedness; however, Grimes is harshly reprimanded when he knocks the vial away and causes damage. Grimes tells Homer that they are ""enemies,"" but Homer - still wanting to be friends - invites ""Grimey"" over for dinner. However, the attempt only makes matters worse when Grimes sees that Homer is living in a nice home and has a family. Resolved to expose Homer as a fraud once and for all, he hands out a flyer announcing a ""design your own power plant"" contest, which has all references to this being a contest for elementary school students. However, Homer easily ...                Written by
Brian Rathjen <briguy_52732@yahoo.com>",Homer's Enemy,"Matt Groening (created by), James L. Brooks (developed by)"
176,11 May 1997,Neil Affleck,"Troy McClure introduces three ""potential spin-offs"" of The Simpsons. The fictional pilots include: ""Chief Wiggum, P.I. (Wiggum and Principal Skinner are detectives in New Orleans, and must contend with the evil Big Daddy, who kidnaps Ralph); ""The Love-Matic Grandpa"" (a spoof of the failed 1960s-era sitcom ""My Mother the Car,"" where Grampa's ghost inhabits a Love Tester machine at Moe's Tavern); and ""The Simpson Family Smile-Time Variety Hour"" (the Simpsons - along with a teen-aged ""Lisa"" - star in a comedy-variety show, much like the Bradys did in 1977).",24,http://www.imdb.com/title/tt0701262/?ref_=ttep_ep24,7.2,"1,126",8,"Troy McClure introduces three ""potential spin-offs"" of The Simpsons. The fictional pilots include: ""Chief Wiggum, P.I. (Wiggum and Principal Skinner are detectives in New Orleans, and must contend with the evil Big Daddy, who kidnaps Ralph); ""The Love-Matic Grandpa"" (a spoof of the failed 1960s-era sitcom ""My Mother the Car,"" where Grampa's ghost inhabits a Love Tester machine at Moe's Tavern); and ""The Simpson Family Smile-Time Variety Hour"" (the Simpsons - along with a teen-aged ""Lisa"" - star in a comedy-variety show, much like the Bradys did in 1977).",The Simpsons Spin-Off Showcase,"Matt Groening (created by), James L. Brooks (developed by)"
